Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
33D,0200,33D,0000,000,0000,000,0000,0000,004,0100
33D,0200,33E,0200,33D,0200,000,033D,0000,004,0100
33E,EE19,33F,EE19,358,0000,000,0019,0000,004,0100,358,0000
33F,AE15,340,AE15,355,0000,000,0015,0000,004,0100
340,0C00,341,0C00,7FF,0000,7FF,0340,0000,004,0100,7FF,0000
341,D359,359,D359,7FE,0342,7FE,D359,0000,004,0100,7FE,0342
359,AC01,35A,AC01,7FF,0000,7FE,0001,0000,004,0100
35A,F001,35C,F001,35A,F001,7FE,0001,0000,004,0100
35C,7E07,35D,7E07,364,0A00,7FE,0007,0000,008,1000
35D,F804,362,F804,35D,F804,7FE,0004,0000,008,1000
362,AE02,363,AE02,365,F8A5,7FE,0002,F8A5,008,1000
363,EC01,364,EC01,7FF,F8A5,7FE,0001,F8A5,008,1000,7FF,F8A5
364,0A00,342,0A00,7FE,0342,7FF,0364,F8A5,008,1000
342,0800,343,0800,7FF,F8A5,000,0342,F8A5,008,1000
343,0740,344,0740,343,0740,000,0343,F8A4,009,1001
344,6E13,345,6E13,358,0000,000,0013,F8A4,009,1001
345,EE12,346,EE12,358,F8A4,000,0012,F8A4,009,1001,358,F8A4
346,AE10,347,AE10,357,0000,000,0010,0000,005,0101
347,0740,348,0740,347,0740,000,0347,FFFF,008,1000
348,0C00,349,0C00,7FF,FFFF,7FF,0348,FFFF,008,1000,7FF,FFFF
349,D359,359,D359,7FE,034A,7FE,D359,FFFF,008,1000,7FE,034A
359,AC01,35A,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
35A,F001,35B,F001,35A,F001,7FE,035A,FFFF,008,1000
35B,F306,35C,F306,35B,F306,7FE,035B,FFFF,008,1000
35C,7E07,35D,7E07,364,0A00,7FE,0007,FFFF,009,1001
35D,F804,362,F804,35D,F804,7FE,0004,FFFF,009,1001
362,AE02,363,AE02,365,F8A5,7FE,0002,F8A5,009,1001
363,EC01,364,EC01,7FF,F8A5,7FE,0001,F8A5,009,1001,7FF,F8A5
364,0A00,34A,0A00,7FE,034A,7FF,0364,F8A5,009,1001
34A,0800,34B,0800,7FF,F8A5,000,034A,F8A5,009,1001
34B,6E0C,34C,6E0C,358,F8A4,000,000C,0001,001,0001
34C,EE0B,34D,EE0B,358,0001,000,000B,0001,001,0001,358,0001
34D,AE08,34E,AE08,356,0000,000,0008,0000,005,0101
34E,0740,34F,0740,34E,0740,000,034E,FFFF,008,1000
34F,0C00,350,0C00,7FF,FFFF,7FF,034F,FFFF,008,1000,7FF,FFFF
350,D359,359,D359,7FE,0351,7FE,D359,FFFF,008,1000,7FE,0351
359,AC01,35A,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
35A,F001,35B,F001,35A,F001,7FE,035A,FFFF,008,1000
35B,F306,35C,F306,35B,F306,7FE,035B,FFFF,008,1000
35C,7E07,35D,7E07,364,0A00,7FE,0007,FFFF,009,1001
35D,F804,362,F804,35D,F804,7FE,0004,FFFF,009,1001
362,AE02,363,AE02,365,F8A5,7FE,0002,F8A5,009,1001
363,EC01,364,EC01,7FF,F8A5,7FE,0001,F8A5,009,1001,7FF,F8A5
364,0A00,351,0A00,7FE,0351,7FF,0364,F8A5,009,1001
351,0800,352,0800,7FF,F8A5,000,0351,F8A5,009,1001
352,4E05,353,4E05,358,0001,000,0005,F8A6,008,1000
353,EE04,354,EE04,358,F8A6,000,0004,F8A6,008,1000,358,F8A6
354,0100,355,0100,354,0100,000,0354,F8A6,008,1000
